User ID,User Name,Messages,Similarity
U000,User_0,Hello! I'm User_0. I graduated from Cambridge with a major in Biochemistry. I've led projects at Adobe focusing on UX/UI Design.,0.34659818
U001,User_1,My name is User_1. I have a degree in Chemistry. I've worked at Google for 10 years. My expertise is in Web Development.,0.32638985
U003,User_3,"Hi there, I am User_3. I pursued my Masters in Economics from Yale. I have been a part of Twitter where I was involved in Quantitative Analysis projects.",0.32910317
U005,User_5,Hello! I'm User_5. I graduated from Stanford with a major in Mechanical Engineering. I've led projects at Nvidia focusing on Optimization.,0.32126543
U008,User_8,"Hi there, I am User_8. I pursued my Masters in Economics from Princeton. I have been a part of IBM where I was involved in IoT projects.",0.3135005
U009,User_9,Hello! I'm User_9. I graduated from Oxford with a major in Software Engineering. I've led projects at Nvidia focusing on Database Management.,0.3447016
U014,User_14,Hello! I'm User_14. I graduated from Harvard with a major in Mechanical Engineering. I've led projects at Netflix focusing on Neural Networks.,0.31936938
U015,User_15,"Greetings! My name is User_15. With a background in Statistics, I've been with Snapchat for the past 3 years, predominantly working on Wearable Tech.",0.36389995
U016,User_16,My name is User_16. I have a degree in Chemistry. I've worked at Amazon for 3 years. My expertise is in Web Development.,0.31459597
U017,User_17,"Hey, I'm User_17. My academic journey includes a PhD in History from UC Berkeley. My professional path led me to Spotify, diving deep into Branding.",0.30284676
U019,User_19,"Greetings! My name is User_19. With a background in Nanotechnology, I've been with Snapchat for the past 7 years, predominantly working on Green Energy Solutions.",0.32976836
U022,User_22,Hello! I'm User_22. I graduated from Harvard with a major in Biochemistry. I've led projects at Oracle focusing on Database Management.,0.35238883
U026,User_26,Hello! I'm User_26. I graduated from Harvard with a major in Mechanical Engineering. I've led projects at Netflix focusing on UX/UI Design.,0.34932855
U027,User_27,"Hi there, I am User_27. I pursued my Masters in Genetics from Yale. I have been a part of Tesla where I was involved in Quantitative Analysis projects.",0.34438422
U028,User_28,"Hi there, I am User_28. I pursued my Masters in Cybersecurity from Yale. I have been a part of Twitter where I was involved in Blockchain projects.",0.3121964
U030,User_30,"Hi there, I am User_30. I pursued my Masters in Robotics from Yale. I have been a part of Intel where I was involved in Quantitative Analysis projects.",0.36633423
U031,User_31,"Hi there, I am User_31. I pursued my Masters in Genetics from Yale. I have been a part of Tesla where I was involved in VR/AR projects.",0.33084837
U034,User_34,My name is User_34. I have a degree in Chemistry. I've worked at Apple for 6 years. My expertise is in Cloud Computing.,0.311457
U037,User_37,"Hi there, I am User_37. I pursued my Masters in Robotics from Yale. I have been a part of Intel where I was involved in Blockchain projects.",0.36391547
U039,User_39,Hello! I'm User_39. I graduated from Stanford with a major in Mathematics. I've led projects at Netflix focusing on UX/UI Design.,0.31113097
U040,User_40,"Greetings! My name is User_40. With a background in Nanotechnology, I've been with Airbnb for the past 4 years, predominantly working on Green Energy Solutions.",0.3168648
U046,User_46,Hello! I'm User_46. I graduated from Oxford with a major in Mechanical Engineering. I've led projects at Netflix focusing on Optimization.,0.38656697
U047,User_47,Hello! I'm User_47. I graduated from Cambridge with a major in Biochemistry. I've led projects at Oracle focusing on Mobile App Development.,0.32297662
