user_id,participation,work done,compatibility,adaptibility
U000,3,4,3,5
U001,6,5,6,5
U004,8,7,8,6
U005,1,2,1,3
U008,8,7,8,6
U009,1,2,1,3
U010,1,2,1,3
U011,8,7,8,6
U012,8,7,8,6
U013,8,7,8,6
U014,0,1,0,2
U017,6,5,6,5
U018,8,7,8,6
U019,7,6,7,5
U020,8,7,8,6
U021,8,7,8,6
U022,5,5,5,5
U023,8,7,8,6
U025,1,2,1,3
U026,8,7,8,6
U027,8,7,8,6
U028,6,5,6,5
U029,0,1,0,2
U030,8,7,8,6
U031,5,5,5,5
U032,8,7,8,6
U033,8,7,8,6
U034,8,7,8,6
U035,6,5,6,5
U036,8,7,8,6
U037,5,5,5,5
U039,7,6,7,5
U043,6,5,6,5
U044,8,7,8,6
U045,8,7,8,6
U046,8,7,8,6
U047,8,7,8,6
U048,8,7,8,6
U049,2,3,2,4
